№ п/п;Сокращенное наименование ОУ;Руководитель;Телефоны;Электронный адрес;Официальный сайт;Общая информация об учреждении на официальном сайте для размещения информации о государственных (муниципальных) учреждениях
23;МБУ «Школа № 32»;Федорахина Ольга Вячеславовна;35-88-22;school32@edu.tgl.ru;https://school32.tgl.net.ru;https://bus.gov.ru/agency/138388
24;МБУ «Школа № 33»;совмещение обязанностей директора Крылова Наталья Александровна;35-22-73;school33@edu.tgl.ru;https://school33.tgl.net.ru;https://bus.gov.ru/agency/118639
25;МБУ «Школа № 34»;Стегачева Алла Евгеньевна;35-97-91;school34@edu.tgl.ru;https://school34.tgl.ru;https://bus.gov.ru/agency/132863
26;МБУ «Гимназия № 35»;Сураева Людмила Михайловна;37-06-00;school35@edu.tgl.ru;http://school35.tgl.ru;https://bus.gov.ru/agency/112244
27;МБУ «Лицей № 37»;Муканина Галина Валентиновна;35-10-50;school37@edu.tgl.ru;https://school37.tgl.net.ru;https://bus.gov.ru/agency/110696
28;МБУ «Гимназия № 38»;Мищенко Юлия Сергеевна;37-40-27;school38@edu.tgl.ru;https://гимназия38.рф;https://bus.gov.ru/agency/117941
29;МБУ «Гимназия № 39»;Гранченко Дмитрий Викторович;24-42-33;school39@edu.tgl.ru;https://school39.tgl.ru;https://bus.gov.ru/agency/165532
30;МБУ «Школа № 40»;Устинова Ирина Владимировна;20-11-45;school40@edu.tgl.ru;https://school40.tgl.net.ru;https://bus.gov.ru/agency/174832
31;МБУ «Школа № 41»;Зимонина Белла Эдуардовна;32-05-23;school41@edu.tgl.ru;https://моу41тольятти.росшкола.рф;https://bus.gov.ru/agency/102799
32;МБУ «Школа № 43»;Сергеева Ирина Станиславовна;32-74-01;school43@edu.tgl.ru;https://school43.ru;https://bus.gov.ru/agency/117950
33;МБУ «Школа № 44»;Касаткина Анастасия Игоревна;32-61-83;school44@edu.tgl.ru;https://school44.tgl.ru/;https://bus.gov.ru/agency/124998
34;МБУ «Школа № 45»;Кузнецов Алексей Александрович;37-15-08;school45@edu.tgl.ru;https://school45.tgl.net.ru;https://bus.gov.ru/agency/170914
35;МБУ «Школа № 46»;Чубенко Лариса Анатольевна;32-10-14;school46@edu.tgl.ru;https://school46.tgl.ru;https://bus.gov.ru/agency/131131
36;МБУ «Школа № 47»;Прокопченко Ирина Витальевна;36-66-77;school47@edu.tgl.ru;https://school47.tgl.net.ru;https://bus.gov.ru/agency/173542
37;МБУ «Гимназия № 48»;Кузнецова Оксана Владимировна;31-00-59;school48@edu.tgl.ru;https://school48.tgl.net.ru;https://bus.gov.ru/agency/153534
38;МБУ «Школа имени С.П. Королёва»;Подоляко Татьяна Николаевна;35-93-77;school_Korolyova@edu.tgl.ru;http://school-korolyova.tgl.ru;https://bus.gov.ru/agency/113470
39;МБУ «Лицей № 51»;Щелакова Ирина Валентиновна;35-23-31;school51@edu.tgl.ru;https://school51.tgl.net.ru;https://bus.gov.ru/agency/102798
40;МБУ «Кадетская школа № 55»;Жуковец Николай Николаевич;24-12-12;school55@edu.tgl.ru;https://school55.tgl.net.ru;https://bus.gov.ru/agency/112256
41;МБУ «Школа № 58»;Борисова Ольга Олеговна;34-68-52;school58@edu.tgl.ru;https://school58.tgl.net.ru;https://bus.gov.ru/agency/172211
42;МБУ «Школа № 59»;Рожко Елена Николаевна;34-71-43;school59@edu.tgl.ru;https://school59.tgl.ru;https://bus.gov.ru/agency/102800
43;МБУ «Лицей №60»;Косова Татьяна Юрьевна;75-55-50;school60@edu.tgl.ru;https://school60.tgl.net.ru/;https://bus.gov.ru/agency/98674
44;МБУ «Школа № 61»;Кордик Андрей Викторович;32-13-46;school61@edu.tgl.ru;https://school61.tgl.net.ru;https://bus.gov.ru/agency/184650
45;МБУ «Школа № 62»;Соколов Дмитрий Владимирович;33-79-98;school62@edu.tgl.ru;https://school62.moy.su;https://bus.gov.ru/agency/113472
46;МБУ «Школа № 66»;Воронина Валентина Павловна;30-48-48;school66@edu.tgl.ru;https://school66.tgl.net.ru;https://bus.gov.ru/agency/110576
47;МБУ «Лицей № 67»;Колосов Константин Александрович;34-62-77;school67@edu.tgl.ru;https://school67.tgl.ru;https://bus.gov.ru/agency/117700
48;МБУ «Школа № 69»;совмещение должности директора Павлова Елена Николаевна;30-86-88;school69@edu.tgl.ru;https://school69.tgl.net.ru;https://bus.gov.ru/agency/158412
49;МБУ «Школа № 70»;Степанов Артем Владимирович;30-68-01;school70@edu.tgl.ru;https://school70.tgl.ru;https://bus.gov.ru/agency/99857
50;МБУ «Школа № 71»;Архипова Людмила Викторовна;33-13-38;school71@edu.tgl.ru;https://mou71.ru;https://bus.gov.ru/agency/181142
51;МБУ «Школа № 72»;Гамов Сергей Иванович;30-57-58;school72@edu.tgl.ru;https://school72.tgl.ru;https://bus.gov.ru/agency/113471
52;МБУ «Школа № 73»;Грошева Татьяна Рудольфовна;34-57-07;school73@edu.tgl.ru;https://school73.tgl.net.ru;https://bus.gov.ru/agency/94735
53;МБУ «Школа № 74»;Стрельникова Ольга Геннадьевна;30-05-16;school74@edu.tgl.ru;http://74школа.рф;https://bus.gov.ru/agency/122999
54;МБУ «Школа № 75»;Гервасьева Светлана Александровна;45-06-11;school75@edu.tgl.ru;https://school75.tgl.net.ru;https://bus.gov.ru/agency/115513
55;МБУ «Лицей № 76»;Коняхина Юлия Станиславовна;34-10-07;school76@edu.tgl.ru;https://school76.tgl.ru;https://bus.gov.ru/agency/106084
56;МБУ «Гимназия № 77»;Усиевич Татьяна Аркадьевна;36-23-52;school77@edu.tgl.ru;https://school77.tgl.ru;https://bus.gov.ru/agency/107317
57;МБУ «Школа № 79»;Тарасова Марина Анатольевна;30-15-39;school79@edu.tgl.ru;https://school79.tgl.ru;https://bus.gov.ru/agency/129642
58;МБУ «Школа № 80»;Кирсанова Наталия Анатольевна;24-51-87;school80@edu.tgl.ru;https://school80.tgl.ru;https://bus.gov.ru/agency/109476
59;МБУ «Школа № 81»;Кравцевич Нина Витальевна;30-84-30;school81@edu.tgl.ru;https://school81.tgl.ru;https://bus.gov.ru/agency/116622
60;МБУ «Школа № 82»;Ульянов Виктор Николаевич;30-98-08;school82@edu.tgl.ru;https://school82.tgl.net.ru;https://bus.gov.ru/agency/107589
61;«МБУ «Школа № 84»;Чесноков Сергей Николаевич;30-44-32;school84@edu.tgl.ru;https://school84.tgl.net.ru;https://bus.gov.ru/agency/108209
62;МБУ «Школа № 86»;Юрченко Клавдия Сергеевна;20-36-61;school86@edu.tgl.ru;https://school86.tgl.net.ru;https://bus.gov.ru/agency/107592
63;МБУ школа «Образовательный центр «Галактика»;Дернова Лариса Владимировна;66-01-11;school88@edu.tgl.ru;https://school88.tgl.net.ru;https://bus.gov.ru/agency/107272
64;МБУ «Школа № 89»;Марчук Марина Александровна;33-12-42;school89@edu.tgl.ru;https://school89.tgl.net.ru;https://bus.gov.ru/agency/31864
65;МБУ «Школа № 90»;Подоляко Виталий Игоревич;42-95-82;school90@edu.tgl.ru;https://school90.tgl.ru;https://bus.gov.ru/agency/110577
66;МБУ «Школа № 91»;Пензилова Анастасия Павловна;25-25-09;School91@edu.tgl.ru;https://school91.tgl.net.ru;https://bus.gov.ru/agency/107601
67;МБУ «Школа № 93»;Пронина Ирина Сергеевна;72-12-60;school93@edu.tgl.ru;https://school93.tgl.ru;https://bus.gov.ru/agency/128674
68;МБУ «Школа № 94»;Иванова Римма Павловна;32-01-79;School94@edu.tgl.ru;https://school94.tgl.net.ru;https://bus.gov.ru/agency/90943
