№ п/п;Сокращенное наименование ОУ;Руководитель;Телефоны;Электронный адрес;Официальный сайт;Общая информация об учреждении на официальном сайте для размещения информации о государственных (муниципальных) учреждениях
28;МБУ детский сад № 93 «Мишутка»;Резник Лилия Ишбулдыновна;28-61-52;chgard93@edu.tgl.ru;https://chgard93.tgl.net.ru;https://bus.gov.ru/agency/15940
29;МБУ детский сад № 100 «Островок»;Мамуткина Елена Николаевна;28-37-03;chgard100@edu.tgl.ru;https://chgard100.tgl.net.ru;https://bus.gov.ru/agency/26205
30;МБУ детский сад № 104 «Соловушка»;Кичатова Ольга Анатольевна;22-26-05;chgard104@edu.tgl.ru;https://мдоу104тольятти.росшкола.рф;https://bus.gov.ru/agency/17337
31;МБУ детский сад № 110 «Белоснежка»;Тимошкова Татьяна Андреевна;22-04-16;chgard110@edu.tgl.ru;https://chgard110.tgl.net.ru;https://bus.gov.ru/agency/103160
32;МБУ детский сад № 116 «Солнечный»;Ладыка Екатерина Георгиевна;32-17-52;chgard116@edu.tgl.ru;https://моу116тольятти.росшкола.рф;https://bus.gov.ru/agency/5103
33;МАОУ ДС № 120 «Сказочный»;Вареницина Галина Геннадьевна;32-56-87;chgard120@edu.tgl.ru;https://chgard120.tgl.net.ru;https://bus.gov.ru/agency/116621
34;МБУ детский сад № 125 «Росточек»;Щеглова Светлана Анатольевна;45-01-85;chgard125@edu.tgl.ru;https://chgard125.tgl.net.ru;https://bus.gov.ru/agency/100078
35;МБУ детский сад № 128 «Гвоздичка»;Шубина Елена Олеговна;36-26-26;chgard128@edu.tgl.ru;https://chgard128.tgl.net.ru;https://bus.gov.ru/agency/25098
36;МБУ детский сад № 138 «Дубравушка»;Вершинина Елена Васильевна;41-03-72;chgard138@edu.tgl.ru;https://chgard138.tgl.net.ru;https://bus.gov.ru/agency/124280
37;МБУ детский сад № 147 «Сосенка»;Ибрагимова Халида Мязгутовна;24-50-30;chgard147@edu.tgl.ru;https://chgard147.tgl.net.ru;https://bus.gov.ru/agency/125663
38;МБУ детский сад №162 «Олимпия»;Пунченко Светлана Аркадьевна;25-60-30;chgard162@edu.tgl.ru;https://chgard162.tgl.net.ru;https://bus.gov.ru/agency/119218
39;МБУ детский сад № 196 «Маячок»;Лаврова  Светлана  Анатольевна;24-86-63;chgard196@edu.tgl.ru;https://chgard196.tgl.net.ru;https://bus.gov.ru/agency/133194
40;МБУ детский сад № 197 «Радуга»;Мелькина Валентина Валентиновна;34-88-09;chgard197@edu.tgl.ru;https://chgard197.tgl.net.ru;https://bus.gov.ru/agency/38065
41;МБУ детский сад № 199 «Муравьишка»;Панкова Людмила Семеновна;97-44-70;chgard199@edu.tgl.ru;https://chgard199.tgl.net.ru;https://bus.gov.ru/agency/102207
42;МАОУ ДС № 200 «Волшебный башмачок»;Краснова Наталья Сергеевна;66-22-67;chgard200@edu.tgl.ru;https://chgard200.tgl.net.ru;https://bus.gov.ru/agency/71287
43;МАОУ детский сад № 210 «Ладушки»;Андрианова Ольга Юрьевна;58-11-93;chgard210@edu.tgl.ru;https://chgard210.tgl.net.ru;https://bus.gov.ru/agency/68626
