№;Наименование;Адрес;ФИО руководителя;Телефон;Электронная почта;Официальный сайт;Дополнительная информация
11;ГБУЗ СО ТОЛЬЯТТИНСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 3 ;445008 г.Тольятти, Комсомольский район, ул. Лизы Чайкиной, д. 67, литера А;Стогний Дмитрий Геннадьевич;"Факс: 88482935151, приемная:
 93-51-51
";tolsp3@mail.ru;www.zdravportal.ru/lpu/sp3;
12;ГБУЗ СО ТОЛЬЯТТИНСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ;445050 г.Тольятти, Центральный район, ул. Жилина, д. 29;Лапшин Михаил Юрьевич;"Факс: 88482484126 
приемная: 
48-63-94
";tolssmp@mail.ru;http://tssmp-tlt.ru;
13;ГБУЗ СО ТОЛЬЯТТИНСКАЯ ОБЛАСТНАЯ СТАНЦИЯ ПЕРЕЛИВАНИЯ КРОВИ;445026 г.Тольятти, Автозаводский район, Московский пр., д. 19;Галкин Игорь Васильевич;"Факс: 88482777101, 
приемная:
77-71-01
";gspk@tlt.ru;http://donorsamara.ru;
14;ГБУЗ СО ТОЛЬЯТТИНСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР;445000 г.Тольятти, Центральный район, Автозаводское шоссе, д. 3;Селезнева Ираида Геннадьевна;"Факс: 88482253618, приемная: 
25-36-18
";tpnd@mail.ru ;тпнд.кврачу63.рф;
15;ГБУЗ СО ТОЛЬЯТТИНСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР;445009 г.Тольятти, Центральный район, ул. Победы, д. 28;Михайлов Сергей Владимирович;"Факс: 88482222712, приемная: 
22-27-12
";narcologtlt@mail.ru;http://narcologtlt.ru;
16;ГБУЗ СО ТОЛЬЯТТИНСКИЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР;"445013 г.Тольятти, Комсомольский район,
ул. Телеграфная, д. 34
";Цыганков Игорь Леонтьевич;"Факс: 88482975041, приемная: 
97-50-41
";guz-so-tptd@yandex.ru;tolptd.ru;
17;ГБУЗ СО ТОЛЬЯТТИНСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР;445004 г.Тольятти, Центральный район, Автозаводское шоссе, д. 7;Певзнер Юрий Самуилович;"Факс: 88482258395, приемная:
22-62-57
";info@tkvd.ru ;www.tkvd.ru;
18;"ГБУЗ СО ""ТОЛЬЯТТИНСКИЙ ВРАЧЕБНО-ФИЗКУЛЬТУРНЫЙ ДИСПАНСЕР""";445035 г.Тольятти, Центральный район, ул. Мира, д. 150;Щипакина Марина Павловна;"Факс: 88482261231
приемная: 
26-12-31
";vfd.tlt@yandex.ru ;www.medportal63.ru/clinic/info88/;
19;"ГБУЗ СО ""ТОЛЬЯТТИНСКИЙ ЛЕЧЕБНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ""АРИАДНА"" ";"445051 г.Тольятти, Автозаводский район,  
ул. Маршала Жукова, д. 3
";Маркелова Елена Олеговна;"Факс: 88482324029, приемная: 
32-40-29
";04044@mail.miac.samregion.ru ;www.zdravportal.ru/lpu/ariadna;
20;ГБУЗ СО ТОЛЬЯТТИНСКАЯ ДЕЗСТАНЦИЯ ;"445046 г.Тольятти, ул.Механизаторов,
д. 21
";Русак Михаил Владимирович;"Факс: 88482243140, приемная: 
24-31-40
";dezst_2356@mail.ru ;medportal63.ru/clinic/info360/;
21;ГБПОУ ТОЛЬЯТТИНСКИЙ МЕДИЦИНСКИЙ КОЛЛЕДЖ;445010 г.Тольятти, Центральный район, ул. Строителей д. 7;Егоров Иван Владимирович;"Факс: 88482480265, приемная: 
28-26-08
";colmedtlt@yandex.ru ;;
