№;Наименование учреждения;Email;Телефон;Адрес
12;Государственное казенное учреждение Самарской области «Главное управление социальной защиты Центрального округа- Отделы назначения компенсаций и льгот по Автозаводскому району ;;8(8482)54-49-06,8(8482)54-30-94, 8(8482)54-34-91;445037, г. Тольятти, б-р. Орджоникидзе, 16
13;Государственное казенное учреждение Самарской области «Главное управление социальной защиты Центрального округа- Отделы назначения компенсаций и льгот по Центральному району;;8(8482)54-41-04, 8(8482)54-33-28, 8(8482)54-32-61;445017, г. Тольятти, ул. Победы, 74.
14;Государственное казенное учреждение Самарской области «Главное управление социальной защиты Центрального округа- Отделы назначения компенсаций и льгот по Комсомольскому району ;;8(8482)54-33-56,8(8482)54-31-97;445012, г. Тольятти, ул. Матросова, 19д.
15;Государственное казенное учреждение Самарской области «Главное управление социальной защиты Центрального округа» - Управление по муниципальному району Ставропольский;;8(8482)28-32-62, 8(8482)28-15-17, 8(8482)28-00-11;445011, г. Тольятти, Площадь Свободы, 9
16;Государственное казенное учреждение Самарской области «Главное управление социальной защиты Центрального округа»- Управление по городскому округу Жигулевск;;8(8486)22-46-42, 8(8486)23-39-67;445350, г. Жигулевск, ул. Почтовая, д.1
17;Государственное казанное учреждение Самарской области «Центр диагностики и консультирования Самарской области» Тольяттинское отделение;cdk_tlt@mail.ru;8(8482)24-23-30, 8(8482)24-23-70;445040 г. Тольятти, ул. Л.Чайкиной, 37
18;Автономная некоммерческая организация «Центр социального обслуживания населения «Тольяттинский»;ano-cson-tlt@mail.ru;8(8482)26-10-33;Юридический адрес: 445133, область Самарская, Ставропольский район, с. Мусорка, улица Почтовая, д.15, Местоположение: 445021, Самарская область, г. Тольятти, бульвар Ленина, д.10
19;Государственное казенное учреждение Самарской области  «Тольяттинский социальный приют для лиц без определенного места жительства и занятий»- Автозаводское отделение;sochotel@yandex.ru, sochotel@socio.samregion.ru;8(8482)63-65-51;445026, Самарская область, г.Тольятти, Московский проспект, д.8 «а»
20;Государственное казенное учреждение самарской области  «Тольяттинский социальный приют для лиц без определенного места жительства и занятий»- Поволжское отделение;sochotel@yandex.ru, sochotel@socio.samregion.ru;8(8482)40-44-80, 8(8482)48-81-49;445092,Самарская область, г.Тольятти, ул. Академика Вавилова, 64
21;Государственное бюджетное учреждение Самарской области «Тольяттинский пансионат для ветеранов труда (дом-интернат для престарелых и инвалидов)» (ГБУ СО «Тольяттинский пансионат»);tlt-pans@yandex.ru;Секретарь руководителя 8(8482) 22-23-22, Зам. директора по общим вопросам 8(8482) 22-80-82, Зам. директора по медицинской части  8(8482) 25-79-89;445004, г. Тольятти, ул. Ларина,1
22;Государственное бюджетное учреждение Самарской области «Тольяттинский пансионат для ветеранов труда (дом-интернат для престарелых и инвалидов)» (ГБУ СО «Тольяттинский пансионат»)- Жигулевское отделение  ;tlt-pans@yandex.ru;Зам. директора 8 (848-62) 3-49-77;445351, г.Жигулевск, микрорайон Г-1, 16
23;Государственное бюджетное учреждение Самарской области  «Солнечнополянский пансионат для инвалидов (психоневрологический интернат)»;"sppm@yandex.ru; bahilovo-pans@mail.ru";Приемная 8(987)819-41-51  ;445363, г.о. Жигулевск, с.Солнечная Поляна, ул. 2-ая Набережная, д.21
24;Государственное бюджетное учреждение Самарской области  «Солнечнополянский пансионат для инвалидов (психоневрологический интернат)»- Обособленное подразделение Бахилово;bahilovo-pans@mail.ru;Зам. директора 8(987)819-41-45;Самарская обл., Ставропольский район, с. Бахилово,1 000 м южнее с. Бахилово
25;Государственное бюджетное учреждение Самарской области «Социально-оздоровительный центр «Преодоление»;preodolenie-tlt@mail.ru;приемная 8 (8481)34-37-32;445027, городской округ Тольятти, Автозаводский район, б-р Буденного, 15
26;Государственное бюджетное учреждение Самарской области «Социально-оздоровительный центр «Преодоление»- отделение в Автозаводском районе;preodolenie-tlt@mail.ru;регистратура 8(8482)35-26-69;445027, городской округ Тольятти, Автозаводский район, б-р Буденного, 15
27;Государственное бюджетное учреждение Самарской области «Социально-оздоровительный центр «Преодоление» -отделение в Комсомольском районе;preodolenie-tlt@mail.ru;регистратура 8(8482)75-64-75;445012, Самарская область, г.Тольятти, ул. Матросова, 19Е
28;Государственное казенное учреждение  Самарской области «Реабилитационный центр для детей и подростков с ограниченными возможностями «Виктория»  городского округа Тольятти»;centr_victoria@mail.ru;администрация  - 8(8482) 22-24-55, вахта - 8(8482) 22-24-73, заместитель директора по УВР - 8(8482) 22-06-51;445017, Самарская область г. Тольятти, ул. Ленина, дом 117
29;Государственное казенное учреждение  Самарской области «Реабилитационный центр для детей и подростков с ограниченными возможностями «Виктория»  городского округа Тольятти»- структурное подразделение «Бережок»;berezhok.tlt@yandex.ru;администрация - 8(8482) 24-51-44, вахта - 8(8482) 24-04-84, зав. отделением 8(8482) 75-41-40;445046, Самарская область, г.Тольятти, ул. Л.Чайкиной, д.37
30;Государственное казенное учреждение  Самарской области «Реабилитационный центр для детей и подростков с ограниченными возможностями «Виктория»  городского округа Тольятти»- структурное подразделение «Алые паруса»;al.parus@rambler.ru;администрация  8(8482) 27-06-56, вахта 8(8482) 37-56-43, зав.отделением 8(8482) 27-06-55;445144, Самарская область, Ставропольский р-н, Ставропольский лесхоз, Ягодинское лесничество, квартал № 5
31;Государственное казенное учреждение Самарской области  «Тольяттинский социально-реабилитационный центр для несовершеннолетних «Гармония»;garmonia_tlt@mail.ru;"8(8482)97-11-49; 8(8482)97-11-48";445041, Самарская область, г. Тольятти, ул. Железнодорожная, дом 19
32;Государственное казенное учреждение Самарской области  «Тольяттинский социально-реабилитационный центр для несовершеннолетних «Гармония»- обособленное структурное подразделение г.Жигулевск;garmoniya.zhigulevsk@mail.ru;8 (84862) 4-25-46, 8 (84862) 4-39-65;445354, Самарская область, г. Жигулевск, ул. Пролетарская, д. 1
33;Государственное казенное учреждение Самарской области  «Тольяттинский социальный приют «Дельфин»;delfin_priut@mail.ru, 345095@.bk.ru;"приемная 8(8482)34-50-95; приёмное отделение (круглосуточно) (8482) 34-92-61";445051, г. Тольятти, ул. Маршала Жукова, 20
34;Государственное казенное учреждение Самарской области  «Центр помощи детям, оставшимся без попечения родителей «Созвездие» г.о. Тольятти (коррекционный)»;Ddsozvezdie@yandex.ru;8 (8482)33-16-13, 8 (8482)33-14-42, 8(8482)33-14-45, 8 (8482)66-71-15;445042, Самарская обл., г.Тольятти, ул. Дзержинского, д.41
35;Государственное казенное учреждение  Самарской области  «Центр помощи детям, оставшимся без попечения родителей  «Единство»  городского округа Тольятти (коррекционный)»;"detdom-edinstvo@yandex.ru; cp.edinstvo@yandex.ru";"Директор: 8(8482) 45-20-93; Заместитель директора 8(8482) 45-19-92; Вахта 8(8482)97-04-74";445015, Самарская обл., г.Тольятти, ул. Шлюзовая, д. 8
36;Государственное казенное учреждение  Самарской области  «Центр помощи детям, оставшимся без попечения родителей  «Единство»  городского округа Тольятти (коррекционный)»- Обособленное структурное подразделение;detdom-edinstvo@yandex.ru,  cp.edinstvo@yandex.ru;руководитель 8(8482)22-15-16, вахта 8(8482)22-15-18;Самарская обл., г. Тольятти, б-р 50 лет Октября, 14
37;Государственное казенное учреждение здравоохранения самарской области «Тольяттинский дом ребенка»;domrebnv56@mail.ru, dom.rebenka@mail.ru;тел/факс:  8(8482)22-18-86, ординаторская 8(8482)221319;445019, г. Тольятти, Самарская обл., ул. Чапаева, д. 42а
38;Государственное казенное учреждение  Самарской области  «Государственное юридическое бюро по Самарской области»;buro01@mail.ru;(846)992-71-80, (846)995-08-91 (факс).;443041, г. Самара, ул. 22 Партсъезда, д. 31, тел. (846)992-71-80, (846)995-08-91 (факс).
39;Государственное казенное учреждение  Самарской области  «Государственное юридическое бюро по Самарской области- Обособленное подразделение в г. Тольятти;;(8482)76-22-36, (8482)76-01-31;"445037 г. Тольятти, ул. Орджоникидзе, д.16, кабинет № 2; бульвар Космонавтов, 4"
